Exercício: 2015
Período: 1o. bimestre
Escopo: Municípios
Anexo 03 - Demonstrativo da Receita Corrente Líquida
Tabela: Receita realizada total (últimos 12 meses)
Instituição;Cod.IBGE;UF;População;Conta;Valor
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;RECEITAS CORRENTES (I);228323506,83
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Receita Tributária;39729428,77
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;IPTU;19954872,51
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;ISS;11054168,64
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;ITBI;3315979,48
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;IRRF;2640469,41
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Outras Receitas Tributárias;2763938,73
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Receita de Contribuições;7915637,85
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Receita Patrimonial;5194724,66
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Receita de Serviços;24282299,25
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Transferências Correntes;138998788,91
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Cota-Parte do FPM;29447680,46
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Cota-Parte do ICMS;36304784,76
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Cota-Parte do IPVA;15805056,22
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Cota-Parte do ITR;269404,28
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Transferências da LC 87/1996;152853,30
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Transferências da LC 61/1989;308194,30
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Transferências do FUNDEB;26014799,72
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Outras Transferências Correntes;30696015,87
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Outras Receitas Correntes;12202627,39
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;DEDUÇÕES (II);21106794,48
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Contrib. do Servidor para o Plano de Previdência;4648192,21
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;Dedução de Receita para Formação do FUNDEB;16458602,27
Prefeitura Municipal de Votuporanga - SP;3557105;SP;90508;RECEITA CORRENTE LÍQUIDA (III) = (I - II);207216712,35
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;RECEITAS CORRENTES (I);1472244759,34
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Receita Tributária;341609876,09
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;IPTU;68457055,30
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;ISS;138184326,47
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;ITBI;45798016,61
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;IRRF;51890938,81
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Outras Receitas Tributárias;37279538,90
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Receita de Contribuições;74534801,91
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Receita Patrimonial;44497535,23
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Receita Agropecuária;3000,00
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Receita de Serviços;153888096,92
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Transferências Correntes;811982564,37
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Cota-Parte do FPM;55849313,21
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Cota-Parte do ICMS;362802468,95
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Cota-Parte do IPVA;67173273,51
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Transferências da LC 87/1996;2313730,00
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Transferências do FUNDEB;131078181,57
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Outras Transferências Correntes;192765597,13
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Outras Receitas Correntes;45728884,82
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;DEDUÇÕES (II);146440875,87
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Contrib. do Servidor para o Plano de Previdência;38181284,77
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Compensações Financ. entre Regimes Previdência;9659410,52
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;Dedução de Receita para Formação do FUNDEB;98600180,58
Prefeitura Municipal de Caxias do Sul - RS;4305108;RS;470223;RECEITA CORRENTE LÍQUIDA (III) = (I - II);1325803883,47
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;RECEITAS CORRENTES (I);187900801,55
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Receita Tributária;26542581,91
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;IPTU;9217463,23
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;ISS;7873913,48
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;ITBI;4199968,66
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;IRRF;1493702,12
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Outras Receitas Tributárias;3757534,42
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Receita de Contribuições;2987881,09
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Receita Patrimonial;1118029,92
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Receita de Serviços;286,70
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Transferências Correntes;152206152,54
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Cota-Parte do FPM;30034556,64
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Cota-Parte do ICMS;25112163,21
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Cota-Parte do IPVA;9093192,62
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Cota-Parte do ITR;283914,85
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Transferências da LC 87/1996;138105,30
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Transferências da LC 61/1989;476942,52
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Transferências do FUNDEB;17718802,29
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Outras Transferências Correntes;69348475,11
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Outras Receitas Correntes;5045869,39
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;DEDUÇÕES (II);12772196,12
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;Dedução de Receita para Formação do FUNDEB;12772196,12
Prefeitura Municipal de Alfenas - MG;3101607;MG;78176;RECEITA CORRENTE LÍQUIDA (III) = (I - II);175128605,43
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;RECEITAS CORRENTES (I);420187259,85
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Receita Tributária;56770935,22
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;IPTU;5528630,48
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;ISS;24401228,92
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;ITBI;5941975,32
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;IRRF;16314612,16
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Outras Receitas Tributárias;4584488,34
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Receita de Contribuições;16041341,39
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Receita Patrimonial;29444459,18
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Receita de Serviços;130925,00
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Transferências Correntes;308422104,41
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Cota-Parte do FPM;37415774,40
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Cota-Parte do ICMS;141573486,49
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Cota-Parte do IPVA;4113270,08
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Cota-Parte do ITR;5283121,12
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Transferências da LC 87/1996;415857,10
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Transferências da LC 61/1989;1876254,59
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Transferências do FUNDEB;50503455,30
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Outras Transferências Correntes;67240885,33
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Outras Receitas Correntes;9377494,65
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;DEDUÇÕES (II);48703052,20
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Contrib. do Servidor para o Plano de Previdência;9711166,37
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Compensações Financ. entre Regimes Previdência;1170312,47
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;Dedução de Receita para Formação do FUNDEB;37821573,36
Prefeitura Municipal de Corumbá - MS;5003207;MS;108010;RECEITA CORRENTE LÍQUIDA (III) = (I - II);371484207,65
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;RECEITAS CORRENTES (I);344736964,94
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Receita Tributária;55562627,94
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;IPTU;14680813,71
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;ISS;19941928,67
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;ITBI;8972093,18
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;IRRF;5501794,61
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Outras Receitas Tributárias;6465997,77
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Receita de Contribuições;4852020,91
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Receita Patrimonial;3322097,33
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Receita Agropecuária;32304,34
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Receita de Serviços;1373939,37
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Transferências Correntes;269675272,17
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Cota-Parte do FPM;35720631,88
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Cota-Parte do ICMS;97442825,85
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Cota-Parte do IPVA;16197638,97
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Transferências da LC 87/1996;619268,10
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Transferências do FUNDEB;39664863,14
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Outras Transferências Correntes;80030044,23
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Outras Receitas Correntes;9918702,88
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;DEDUÇÕES (II);30082660,71
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;Dedução de Receita para Formação do FUNDEB;30082660,71
Prefeitura Municipal de Santa Cruz do Sul - RS;4316808;RS;125353;RECEITA CORRENTE LÍQUIDA (III) = (I - II);314654304,23
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;RECEITAS CORRENTES (I);3240767893,38
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Receita Tributária;892736592,41
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;IPTU;273395177,39
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;ISS;315330189,34
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;ITBI;67874177,46
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;IRRF;134838918,12
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Outras Receitas Tributárias;101298130,10
Prefeitura Municipal de São Bernardo do Campo - SP;3548708;SP;811489;Receita de Contribuições;77209076,62
